"id","latitude","longitude"
"010001","31.2141422745526","-85.3614310148342"
"010005","34.22159","-86.160495"
"010006","34.7950578233663","-87.6849741042054"
"010007","31.2916658571429","-86.2553466938776"
"010008","31.6944855","-86.2653017"
"010011","33.596457","-86.6676502"
"010012","34.4419753","-85.7550138"
"010016","33.2524139","-86.8130445"
"010018","33.5037997","-86.8025703976393"
"010019","34.7460883","-87.7007573467369"
"010021","31.45172256989","-85.6310434330774"
"010022","34.16269","-85.648703"
"010023","32.3269304","-86.2710331"
"010024","32.3666412522054","-86.2851088280761"
"010029","32.6380721578947","-85.4054026842105"
"010032","33.310209","-85.4850109"
"010033","33.5058687","-86.8020798"
"010034","32.534053","-85.912363"
"010035","34.2075866","-86.8748531"
"010036","31.2965959132979","-86.4967623838479"
"010038","33.66800555","-85.8236744112355"
"010039","34.721046","-86.58179899999999"
"010040","34.0070886","-85.9628785"
"010044","34.1271157142857","-87.9899198571429"
"010045","33.7068631333458","-87.8244140696103"
"010046","34.0042649","-86.003393"
"010047","31.6363165","-86.74272739999999"
"010049","31.318217","-85.855214"
"010051","32.8421795648994","-87.8902068280502"
"010052","32.817208","-85.74115"
"010055","31.2378005180098","-85.4659042375718"
"010056","33.5094058","-86.7884002"
"010058","32.9514066036381","-87.1477076590333"
"010059","34.483576","-87.285908"
"010061","34.6598884756577","-86.0487722414096"
"010062","31.048265","-85.890262"
"010065","32.8858939","-85.8691119"
"010069","31.888033","-85.157902"
"010073","33.2774347","-85.82207919999999"
"010078","33.6559819","-85.8225892189875"
"010079","34.8042607","-86.97917699999999"
"010083","30.4260938","-87.6843079"
"010085","34.5904135","-86.972417"
"010086","33.930952","-87.824744"
"010087","30.7078627","-88.1005982"
"010089","33.841043","-87.2365408"
"010090","30.682293826087","-88.1994053478261"
"010091","31.6942828","-87.7760974"
"010092","33.207343","-87.5338609"
"010095","32.6947561","-87.5867348"
"010097","32.551159","-86.190032"
"010099","31.127222","-87.072525"
"010100","30.519891211599","-87.8895388777132"
"010101","33.4397792","-86.0921347"
"010102","31.9975747","-87.29997379999999"
"010103","33.499436","-86.845365"
"010104","33.4330776","-86.7174621"
"010108","32.4645067861138","-86.450607718175"
"010109","33.27455","-88.088256"
"010110","32.1462328249844","-85.7135745009343"
"010112","32.4975655","-87.8479301"
"010113","30.6963935","-88.07983949999999"
"010114","33.373157","-86.99167899999999"
"010118","32.4291879810095","-87.0535869810095"
"010120","",""
"010125","34.2412429","-87.590589"
"010126","31.7811497","-85.9449087"
"010128","31.531173","-87.8944969"
"010129","30.9017170212766","-87.7830754042553"
"010130","33.6044765","-86.3013050992514"
"010131","34.6935826","-86.57220699999999"
"010138","32.4925842015527","-88.2969619676003"
"010139","33.4642365","-86.7764088"
"010144","30.6873303","-88.1300351"
"010146","33.78454500000001","-85.76297249999999"
"010148","31.43097809999999","-86.9408213"
"010149","32.3628217","-86.1714282"
"010150","31.8285099896928","-86.6462833395502"
"010157","34.7449031","-87.6724712"
"010158","34.5107726","-87.7183471"
"010164","33.1646043850376","-86.2540944893305"
"010168","32.5080845","-85.0086714"
"010169","31.016192","-87.479631"
"011300","31.459417","-88.23507479999999"
"011302","34.4573362244898","-88.1450508571429"
"011304","32.0917013","-88.20829119999999"
"011305","33.9334303398064","-86.495070875682"
"013300","33.5041025","-86.8050753"
"013301","30.696206","-88.076978"
"020001","61.18755275","-149.819096602246"
"020006","61.56316029999999","-149.2576383"
"020008","58.32925895","-134.464982851282"
"020012","64.83173225","-147.740273110877"
"020017","61.21125475","-149.827772840298"
"020018","60.7922222","-161.7558333"
"020026","61.18267545","-149.800679337624"
"021303","57.0588960389698","-135.345657762751"
"021306","57.80078","-152.37421"
"021308","64.5024937","-165.4050786"
"021309","59.03972219999999","-158.4575"
"021310","66.89833329999999","-162.5966666"
"021311","55.3533919","-131.6864647"
"021314","57.0516959","-135.355075299876"
"030001","33.50292275","-112.170428170372"
"030002","33.46470925","-112.058579938906"
"030006","32.2527126","-110.878239535043"
"030007","34.7385119915254","-112.031003254237"
"030010","32.22744275","-111.000179234884"
"030011","32.2268626","-110.854430390772"
"030012","34.55881355","-112.480653603276"
"030013","32.6826354","-114.6349416"
"030014","33.5693168","-112.070651215529"
"030016","32.88064395","-111.709772255728"
"030022","33.45683085","-112.026964412304"
"030023","35.209183","-111.644853"
"030024","33.4822628","-112.080051415124"
"030030","33.5250682","-112.102161190499"
"030033","34.2317384","-111.3213193"
"030036","33.2986174752083","-111.875309036529"
"030037","33.4541048","-112.04284355"
"030038","33.4885727","-111.922983087657"
"030043","31.554586","-110.230876"
"030055","35.2201076","-114.037997374583"
"030061","33.60303905","-112.283769388805"
"030062","34.20288605","-110.017463061386"
"030064","32.24123395","-110.94560407842"
"030065","33.3905533","-111.8770794"
"030068","32.8225938","-109.73542966079"
"030069","34.479803","-114.339501"
"030071","35.7444602","-109.0764828"
"030073","36.1349928","-111.2398625"
"030074","31.9120215","-111.881234"
"030077","33.2953875","-110.4178698"
"030078","33.49715495","-112.049090672799"
"030083","33.6406395","-112.0203309"
"030084","36.1575812","-109.6076963"
"030085","32.3206526934507","-111.01225648772"
"030087","33.5801106","-111.885502407978"
"030088","33.4112456","-111.689103644316"
"030089","33.6105986","-112.2025523"
"030092","33.6671801","-112.1173594"
"030093","33.65982925","-112.37282359643"
"030094","33.7072858","-112.2031233"
"030101","35.109912","-114.55421"
"030103","33.65833045","-111.954380304755"
"030105","33.41122345","-111.685528347625"
"030107","33.3793872","-111.6877343"
"030108","33.5392876","-112.0997016"
